UserID,Video ID,Video Title,Video URL,BugStartTime_0,BugEndTime_0,BugStartTime_1,BugEndTime_1,BugStartTime_2,BugEndTime_2,BugStartTime_3,BugEndTime_3,BugStartTime_4,BugEndTime_4
13,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,0:16,0:44,0:49,1:02,,,,,,
13,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,0:31,0:46,0:55,1:41,,,,,,
14,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,0:18,0:32,0:37,1:06,,,,,,
14,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,0:41,0:54,,,,,,,,
14,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,0:04,0:11,0:37,0:47,0:48,1:07,,,,
14,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,0:15,0:46,,,,,,,,
14,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,0:55,1:39,,,,,,,,
15,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,0:18,0:33,0:37,1:08,,,,,,
15,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,0:01,0:38,,,,,,,,
15,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,0:51,1:08,,,,,,,,
15,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,0:16,0:45,,,,,,,,
15,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,0:58,1:40,,,,,,,,
16,Dg8PGt-ecrc,Weird NHL 16 Glitch,https://youtu.be/Dg8PGt-ecrc,00:18,00:33,,,,,,,,
16,nUC0B2obBsc,ARK thylacoleo dance :D,https://youtu.be/nUC0B2obBsc,00:17,00:43,,,,,,,,
16,UNIJ-BL8Bt0,DayZ Standalone Running Glitch Tutorial,https://youtu.be/UNIJ-BL8Bt0,00:04,00:09,00:42,00:48,00:59,01:09,,,,
16,ulAICmhW2pE,NHL 16 slip sliding away glitch...hilarious PS4,https://youtu.be/ulAICmhW2pE,00:16,00:47,,,,,,,,
16,ale8JK5qyis,My Arma 3 has started glitching ( @ EUTW ),https://youtu.be/ale8JK5qyis,00:56,01:38,,,,,,,,
